기업이름,고용형태,연봉,기업주소,키워드,담당업무,인덱스,필요역량
스마티,경력2년,회사내규에 따름,경기 성남시 분당구 판교역로 221,드론,IT개발·데이터,119,"['시스템', '통신', '드론']"
포디게이트,신입/경력1년,월급 300 만원 ~ 300만원,경기도 안양시 동안구 시민대로109번길 29,드론,"담당업무ㆍ 드론 프로젝트 (용역사업/연구과제 등) 수행 - 항공촬영, 영화세트장 촬영 - 드론 촬영후 Reality Capture (데이터편집,...",120,['드론']
주식회사 쉴드론,경력1년,월급 300 만원 이상,서울특별시 금천구 벚꽃로 254,드론,"1. 전자회로 개발 2. DSP, STM32F 칩 사용 펌웨어 개발 3. 제어장치 개발 펌웨어",121,['임베디드']
비씨디이엔씨(BCDenc),경력무관,"연봉 2,500 만원 이상",경기도 양주시 광적면 부흥로 847,드론,당사는 드론개발 및 콘텐츠 제작하는 업체입니다. 아래와 같이 영업 및 관리 사무원 모집합니다. ㆍ영업 : 입찰공고 확인 및 관련 업...,122,['드론']
비씨디이엔씨(BCDenc),경력무관,"연봉 2,500 만원 이상",경기도 양주시 광적면 부흥로 847,드론,드론개발 및 제조업체입니다. 촬영물에 대한 영상 기획 및 후반 편집 가능하신분 모집하오니 관심있으신분은 지원해 주시기 바랍니다....,123,[]
주식회사드림티엔에스,경력무관,월급 230 만원 이상,경기도 성남시 분당구 성남대로 69,드론,담당업무 ㆍ3D Scanner 관련 기술 업무 ㆍ드론 라이다 운영 및 기술 업무 ㆍ위성 수신 측량 장비 기술 업무 ㆍ관련 전공자나 유경험...,124,[]
주식회사순돌이드론,경력무관,월급 250 만원 이상,경기도 하남시 하남대로 947,드론,"1. [모집분야] (주)순돌이드론 영업팀 신규/경력직(우대) 채용 2. [자격요건] ◼ 연령, 학력, 경력은 제한 없음 ◼ 당사 인사규정에 ...",125,[]
주식회사 트라이디,경력무관,"연봉 2,800 만원 ~ 3,200 만원",경기도 김포시 유현로 242,드론,모집부문 1) 수로측량 (현장직/내업직) - 선박을 이용한 멀티빔 수심측량 - 항만측량/항로측량/해안선측량 - 해저면 탐사 및 인공어초...,126,[]
헬셀,-,회사내규에 따름,경기도 하남시 풍산동,드론,-,127,['드론']
트라이디,신입/경력,회사내규에 따름,경기도 김포시 유현로 242,드론,"총무,일반사무,측량·계측,지도제도 선박을 이용한 멀티빔 수심측량연안,항만측량해저면 탐사 및 인공어초 상태조사RTK측량, 기준점 및...",128,[]
주식회사 모드,경력무관,월급 250 만원 ~ 350 만원,경기도 의정부시 용민로 90,드론,드론 조종 교육 및 드론 활용한 각종 업무 지도조종자 및 운전면허 반드시 필수 *경기도 지역 출장 가능자,129,['드론']
수에듀케이션㈜,경력무관,"연봉 3,000 만원 ~ 3,500 만원",경기도 의정부시 용민로122번길 44,드론,"유치원·보육교사,스포츠강사",130,[]
㈜무한정보기술,경력7년,"연봉 6,500 만원 ~ 6,500 만원",서울 영등포구 당산로2길 12,드론,"웹개발자,소프트웨어개발자,백엔드개발자",131,[]
주식회사빅앤딥,경력무관,"연봉 3,600 만원 ~ 8,000 만원",서울특별시 송파구 법원로 114,드론,[직무내용] 1. 응용소프트웨어 개발자 - 드론 비행/이미지 분석 관련 응용소프트웨어 개발 - 기타 C++을 활용한 개발 관련 업무(사이...,132,"['네트워크', '웹', 'C', 'S/W', '인공지능', '임베디드']"
비에이블컨설팅그룹,경력4년,회사내규에 따름,서울특별시 금천구 가산디지털2로 165,드론,"공정관리,생산관리,전기·전자설비조작,자동제어,회로설계,공정엔지니어",133,['드론']
비씨디이엔씨(BCDenc),경력무관,"연봉 2,600 만원 ~ 4,000 만원",경기도 양주시 광적면 부흥로 847,드론,드론 자격증 필수 드론 조립 가능자 촬영 영상 편집 가능자 우대 엑셀 한글 중급능력 급여 : 면접시 결정,134,['드론']
한산무인항공,경력1년,"연봉 2,500 만원 ~ 3,000 만원",경기도 의정부시 평화로 627,드론,한산무인항공에서 드론 교관님을 채용합니다. 성실하고 매사 밝고 긍정적인 드론 교관님을 기다리고 있습니다. 한산무인항공과 같이 ...,135,[]
농업회사법인 주식회사 투명한,경력1년,"연봉 2,800 만원 이상",서울특별시 강동구 천호옛길 29,드론,"담당업무 영상 기획, 촬영 및 편집 제품 제조, 생산과정 및 인터뷰 촬영 영상에 대한 자연스러운 편집 근무형태 정규직(수습3개월) 급...",136,['드론']
황금이네,경력1년,"연봉 2,800 만원 이상",서울특별시 강동구 천호옛길 29,드론,"담당업무 영상 기획, 촬영 및 편집 제품 제조, 생산과정 및 인터뷰 촬영 영상에 대한 자연스러운 편집 근무형태 정규직(수습3개월) 급...",137,['드론']
㈜비포스,경력무관,회사내규에 따름,서울 금천구 가산동 60-5번지,드론,"금융영업,아웃바운드상담원,은행원·텔러",138,[]
제이디,경력무관,회사내규에 따름,경기 수원시 권선구 ,로봇 제어, 연구·R&D,139,[]
에이치알코어스,경력3년,회사내규에 따름,서울 용산구,로봇 제어," 산업기계,메카트로닉스,제어 로봇 엔지니어",140,"['로봇', '엔지니어']"
백운,경력무관,월급 400 만원 이상,경기도 시흥시 봉우재로209번길,로봇 제어," 모집분야 : 산업 운반기계 엔지니어 (기계, 전기) 관리자 3명, 기능직 5명  관리자(PM) 전기(1명), 기계(1명) - 거래처관리...",141,"['제어', 'PLC']"
티라로보틱스,경력1년,회사내규에 따름,경기 성남시 중원구 ,로봇 제어," 생산,연구·R&D",142,['설계']
디에스케이,경력2년,회사내규에 따름,경기 안산시 상록구 ,로봇 제어, 생산,143,[]
 서보스타,경력3년,"연봉 3,500 만원 ~ 4,000 만원",경기 시흥시 ,로봇 제어, SMC 공압 및 비공압 영업 업무,144,[]
모빈,경력1년,회사내규에 따름,경기 수원시 영통구 ,로봇 제어, 생산,145,[]
라인테크솔라,경력2년,회사내규에 따름,경기 화성시,로봇 제어," 건설·건축,연구·R&D",146,[]
주식회사포디아이비젼,경력무관,"연봉 3,000 만원 ~ 6,000 만원",서울특별시 서초구 매헌로16길,로봇 제어, (주)포디아이비젼은 기술 기반 스타트업으로 센서 개발부터 컴퓨터비젼을 적용한 임베디드 시스템 개발을 하고 있습니다. # 3D 빈피킹...,147,"['제어', 'SW', '설계']"
주식회사포디아이비젼,경력무관,"연봉 2,500 만원 ~ 4,000 만원",서울특별시 서초구 매헌로16길,로봇 제어," [ 담당 업무 ] - 정부 과제 기획 및 관리 - 총무, 회계 - 기획 및 일반 사무 - 정부 보조금 지원 및 관리 [ 지원 자격 ] - 학력 : 대...",148,['엔지니어']
주식회사포디아이비젼,경력무관,"연봉 3,000 만원 ~ 6,000 만원",서울특별시 서초구 매헌로16길,로봇 제어, (주)포디아이비젼은 기술 기반 스타트업으로 센서 개발부터 컴퓨터비젼을 적용한 임베디드 시스템 개발을 하고 있습니다. # 3D 빈피킹...,149,"['C', '엔지니어', 'Linux', '임베디드']"
주식회사포디아이비젼,경력무관,"연봉 3,000 만원 ~ 10,000 만원",서울특별시 서초구 매헌로16길,로봇 제어, 저희 회사는 기술 기반 스타트업 컴퍼니로 센서 개발부터 컴퓨터비젼을 적용한 임베디드 시스템 개발을 하고 있습니다. 사업영역 확대...,150,"['Linux', 'C', '엔지니어', 'TensorFlow', 'Python', '알고리즘']"
아비만로보랩 주식회사,경력무관,회사내규에 따름,경기 화성시,로봇 제어, IT개발·데이터,151,"['SW', '임베디드']"
휘경시스템,경력무관,월급 207 만원 ~ 207 만원,경기 평택시 ,로봇 제어, 구매·자재·물류,152,[]
주식회사김포산업,경력무관,"연봉 3,500 만원 ~ 5,500 만원",경기도 김포시 통진읍,로봇 제어," - 모집인원 : 2명 (신입, 경력자 상관없음) - 직무내용 : 자동화제어 - 우대조건 : 1. PLC 판넬 CAD 설계, 제작, 설치, 시운전 가능...",153,['PLC']
내비간티스코리아유한회사,경력3년,회사내규에 따름,서울 강서구,로봇 제어, 연구·R&D,154,"['로봇', '제어']"
블럭나인,경력3년,회사내규에 따름,서울 금천구,로봇 제어, 생산,155,[]
위드테크놀로지주식회사,경력무관,"연봉 3,200 만원 이상",경기도 성남시 중원구,로봇 제어," 반도체,LCD,OLED, 2차전지,PCB라인 등의 자동화 프로그램을 개발하는 벤쳐 회사입니다. 업무는 Visual C++등을 이용하여 로봇, 장비...",156,"['C', 'PLC']"
한국로봇융합연구원,경력,회사내규에 따름,서울 종로구 ,로봇 제어, 정규직-연구직-연구과제기획 정규직-연구직-로봇SW(포항) 정규직-연구직-기계설계 정규직-연구직-로봇제어 정규직-연구직-임베디드전...,157,[]
로보로보,신입/경력1년,회사내규에 따름,서울 강북구,로봇 제어," 생산,연구·R&D",158,"['로봇', '엔지니어']"
마가커피,경력무관,월급 350 만원 ~ 400 만원,경기도 안산시 단원구,로봇 제어," 자동화 소프트웨어 개발 무인 자동화 커피 하우스 관련 1.자동화 프로그램 설계 및 제작 : 자동화 소프트웨어개발, 프로그램 구조설계...",159,[]
부원,경력무관,"연봉 3,000 만원 ~ 3,300 만원",경기도 안산시 단원구,로봇 제어, - 자동차 로봇 지그 설치 - 지방 및 해외 출장 가능자(신체적 제약이 없는자) - 운전 가능자 우대,160,"['로봇', '엔지니어']"
고송이엔지,경력무관,"연봉 3,000 만원 ~ 4,500 만원",경기도 화성시 동탄산단6길,로봇 제어," 담당업무 ㆍPLC를 이용한 장비 제어 설계.(Mitsubishi, LS산전,기타),전장 설계, 시퀀스 설계 ( E PLAN ),제어 프로그래밍, 지원...",161,"['제어', 'PLC']"
주식회사한국NSD,경력5년,월급 300 만원 이상,경기도 김포시 양촌읍,로봇 제어, 전자부품개발 CNC 공작기계 컨트롤러 개발 PCB Artwork CNC 제어 보드 개발 로봇제어 서브모터제어,162,['설계']
주식회사용선에이엠티,경력무관,월급 206 만원 ~ 206 만원,경기도 화성시 서신면,로봇 제어, 가공품을 용접기계가 잘 작업이 되게 합니다,163,[]
㈜로보티즈,경력무관,회사내규에 따름,서울 강서구,로봇 제어," 생산·공정관리자,물류관리자",164,[]
엘에스메카피온,경력1년,회사내규에 따름,경기 안양시 동안구 ,로봇 제어," 전기·전자,FPGA,펌웨어(Firmware),PCB,DSP 서보드라이브 F/W 개발",165,[]
메리텍산업,신입/경력,회사내규에 따름,경기 안산시 단원구 ,로봇 제어," 자동제어,PLC 전기제어, 다관절로봇(티칭) 조작가능자 우대",166,[]
㈜로보티즈,경력3년,회사내규에 따름,서울 강서구,로봇 제어," 기계엔지니어,R&D·연구원,설계엔지니어",167,"['제어', 'SW', '설계']"
주식회사프리콘,경력2년,"연봉 3,500 만원 이상",경기도 안산시 단원구,로봇 제어, 2024년 엔지니어 기술지원 경력직 모집 [담당업무] ㆍ센서 제품에 대한 판매 및 기술 영업 ㆍ거래처 및 고객사에 대한 영업 관리 ※ ...,168,['엔지니어']
㈜ABB코리아,신입/경력,회사내규에 따름,서울 강남구 ,로봇 제어," 마케팅기획,사무보조,인사담당자,HRD·HRM,회계담당자,경리,세무담당자,AE(광고기획자),온라인마케터,홍보,앱개발자,시스템엔지니어,...",169,[]
㈜로보티즈,신입/경력,회사내규에 따름,서울 강서구,로봇 제어," 소프트웨어개발자,머신러닝엔지니어",170,['딥러닝']
코아닉스,경력무관,"연봉 3,000 만원 ~ 6,000 만원",경기도 용인시 기흥구,로봇 제어," [모집요건] - 제어부분 → PLC Program(Mitsubishi, TwinCAT, AB, Siemens, Servo Motion등) → PC Program(C++, C#, .Net...",171,['PLC']
미래컴퍼니,경력3년,회사내규에 따름,경기 용인시 기흥구 ,로봇 제어," PLC,시스템엔지니어,제어,기구설계,반도체,자동제어",172,[]
주식회사 모엔,경력5년,"연봉 4,000 만원 이상",경기도 수원시 권선구,로봇 제어, 당사는 Roll to Roll Converting 장비를 수주 받아 개발하여 납품하는 산업용기계를 전문으로 하는 기계 장비 제작회사입니다. 당...,173,[]
엑스와이지,경력무관,회사내규에 따름,서울 성동구,로봇 제어," 응용프로그램개발, DBA/데이터베이스",174,"['로봇', '제어', '엔지니어']"
우정테크,경력3년,"연봉 3,000 만원 이상",경기도 부천시 신흥로511번길,로봇 제어, (주)우정테크는 1996년에 설립한 화장품 제조 자동화 장비 전문업체입니다. 지난 20여 년간 축적한 풍부한 경험과 독보적인 기술력을 ...,175,"['경력자', '설계']"
우정테크,경력무관,"연봉 3,000 만원 이상",경기도 부천시 신흥로511번길,로봇 제어, 생산부 자동화기계 조립 채용 직무: 기계조립 (자동화기기 조립) - 학력: 학력무관 - 경력: 신입 및 경력 - [우대조건] 인근거주자 동...,176,[]
주식회사창공에프에이,경력3년,"연봉 4,000 만원 이상",경기도 화성시 동탄산단3길,로봇 제어," Motion Engineer를 초빙합니다. - BOSCH, YASKAWA 교육 이수 후 현장 시운전 - Servo, Linear, Motion Control 설치 시운전 ...",177,[]
㈜로보티즈,경력무관,회사내규에 따름,서울 강서구,로봇 제어, 해외영업,178,[]
올팩주식회사,경력3년,월급 300 만원 ~ 500 만원,경기도 광주시 초월읍,로봇 제어, 물류센터 풀필먼트 자동 시스템 개발 물류 최첨단 풀필먼트 운영에 필요한 시스템 개발 및 운영 설비자동화(plc제어) 운영 효율성 향...,179,[]
㈜로보티즈,경력1년,회사내규에 따름,서울 강서구,로봇 제어," 영업관리,영업지원",180,[]
헬릭스(HELIX Inc.),신입,"연봉 3,000 만원 ~ 3,200 만원",경기도 화성시 동탄기흥로,로봇 제어," 반도체 웨이퍼 반송 로봇 제조 및 설치, 수리 [로봇기구개발 > 로봇부품 검사 및 조립] 입고 검사하기,조립하기 [로봇유지보수 >...",181,[]
수퍼빈 주식회사,경력1년,"연봉 3,200 만원 ~ 8,000 만원",경기도 화성시 우정읍,로봇 제어, 1. 주요업무 -. 생산 스케줄 수립 및 가동율 관리 -. 설비 예방보전 계획 수립 및 Trouble shooting -. 설비 정비 표준 매뉴얼 구...,182,[]
코가로보틱스 주식회사,신입,"연봉 3,200 만원 이상",경기도 성남시 중원구,로봇 제어, <2023. 성남 청년채용박람회 참여기업> 1. 모집직종 : 제어회로 설계- 로봇 구동장치 설계 및 실행점검 2. 모집인원 : 2명 3. ...,183,[]
주식회사티에스피지(TSPG),경력무관,"연봉 4,000 만원 ~ 8,000 만원",경기도 안산시 단원구,로봇 제어," 물류자동화설비 전장설계, PLC프로그램, 설비시운전 기술자. 셔틀랙자동창고시스템, MDPS System, AS/RS스테커크레인, 미니로드, 미...",184,['PLC']
